p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
30,TRUE,0.765,0.04801250359284686,0.4925,0.024997187341779078,10,10,0.74,400
30,FALSE,0.71,0.0465851418222215,0.465,0.024938674784358527,10,10,0.74,400
100,TRUE,0.2525,0.024716120073318477,0.225,0.02087911636061258,10,10,0.74,400
100,FALSE,0.9725,0.06083676647709403,0.53,0.02495495942693556,10,10,0.74,400
300,TRUE,0.08,0.01358164764975905,0.08,0.013564659966250536,10,10,0.74,400
300,FALSE,1.1625,0.061743542476877564,0.635,0.024071508054129054,10,10,0.74,400
1000,TRUE,0.0225,0.007424431321732853,0.0225,0.007415144974981945,10,10,0.74,400
1000,FALSE,1.16,0.06301529432047223,0.625,0.024206145913796356,10,10,0.74,400
3000,TRUE,0.01,0.004981167541368988,0.01,0.0049749371855331,10,10,0.74,400
3000,FALSE,1.33,0.06718656925099911,0.6925,0.02307291431527452,10,10,0.74,400
6000,TRUE,0.005,0.0035311006328336203,0.005,0.0035266839949164713,10,10,0.74,400
6000,FALSE,1.2425,0.0688009323755089,0.6425,0.023963187913965036,10,10,0.74,400
