p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.05547022819519043,0.0014990213423463294,fdr,10,1,1.1,10
100,0.01537320613861084,5.632025588301907e-4,tweedie,10,1,1.1,10
100,1.9885891437530518,0.01659226027035428,lasso,10,1,1.1,10
100,0.13489177227020263,0.0038836065766840924,boruta,10,1,1.1,10
100,0.8915210247039795,0.0407817543393637,svm,10,1,1.1,10
300,0.17524797916412355,0.0026566031830320756,fdr,10,1,1.1,10
300,0.022857356071472167,5.269593239776481e-4,tweedie,10,1,1.1,10
300,2.145517635345459,0.016782354160335956,lasso,10,1,1.1,10
300,0.33124167919158937,0.004526931930392929,boruta,10,1,1.1,10
300,1.7721959114074708,0.03135622060106693,svm,10,1,1.1,10
1000,0.5414469242095947,0.007056140432399291,fdr,10,1,1.1,10
1000,0.046446943283081056,0.001823249397856393,tweedie,10,1,1.1,10
1000,2.2918557643890383,0.026056189281762437,lasso,10,1,1.1,10
1000,1.0830232858657838,0.01141081475646329,boruta,10,1,1.1,10
1000,4.27322781085968,0.04152161927234306,svm,10,1,1.1,10
3000,1.5158014059066773,0.020918446296559343,fdr,10,1,1.1,10
3000,0.1108184814453125,0.0028418330025848193,tweedie,10,1,1.1,10
3000,5.18940236568451,0.06910631348180318,lasso,10,1,1.1,10
3000,3.3802321672439577,0.05336846360624609,boruta,10,1,1.1,10
3000,3.2330747127532957,0.05951078158488072,svm,10,1,1.1,10
10000,4.908100914955139,0.033225632465261015,fdr,10,1,1.1,10
10000,0.32989480495452883,0.003908695044775782,tweedie,10,1,1.1,10
10000,6.53293743133545,0.08024524586752191,lasso,10,1,1.1,10
10000,12.692574167251587,0.14336517268938645,boruta,10,1,1.1,10
10000,4.059682869911194,0.12057487255497906,svm,10,1,1.1,10
