p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims
100,TRUE,0,0,0,0,fdr,76,10,0.1,10
100,FALSE,0,0,0,0,fdr,76,10,0.1,10
100,TRUE,0.4,0.1632993161855452,0.4,0.15491933384829668,tweedie,76,10,0.1,10
100,FALSE,2.8,0.7571877794400365,0.8,0.12649110640673517,tweedie,76,10,0.1,10
100,TRUE,1.6,0.5811865258054231,0.7,0.14491376746189438,lasso,76,10,0.1,10
100,FALSE,11.7,3.5120427737207933,0.8,0.12649110640673517,lasso,76,10,0.1,10
100,TRUE,0.3,0.15275252316519466,0.3,0.14491376746189438,boruta,76,10,0.1,10
100,FALSE,2.8,0.6110100926607787,0.8,0.12649110640673517,boruta,76,10,0.1,10
100,TRUE,0.2,0.19999999999999998,0.1,0.09486832980505139,svm,76,10,0.1,10
100,FALSE,1.8,0.19999999999999998,0.9,0.09486832980505137,svm,76,10,0.1,10
300,TRUE,0,0,0,0,fdr,76,10,0.1,10
300,FALSE,0,0,0,0,fdr,76,10,0.1,10
300,TRUE,0,0,0,0,tweedie,76,10,0.1,10
300,FALSE,2.5,0.6540472290116194,0.9,0.09486832980505137,tweedie,76,10,0.1,10
300,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,lasso,76,10,0.1,10
300,FALSE,9.6,4.5951665427441855,0.8,0.12649110640673517,lasso,76,10,0.1,10
300,TRUE,0,0,0,0,boruta,76,10,0.1,10
300,FALSE,3.2,0.679869268479038,0.8,0.12649110640673517,boruta,76,10,0.1,10
300,TRUE,0,0,0,0,svm,76,10,0.1,10
300,FALSE,3,0,1,0,svm,76,10,0.1,10
1000,TRUE,0,0,0,0,fdr,76,10,0.1,10
1000,FALSE,0,0,0,0,fdr,76,10,0.1,10
1000,TRUE,0,0,0,0,tweedie,76,10,0.1,10
1000,FALSE,2.4,0.4268749491621899,1,0,tweedie,76,10,0.1,10
1000,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,lasso,76,10,0.1,10
1000,FALSE,13.5,4.9805175991613115,0.8,0.12649110640673517,lasso,76,10,0.1,10
1000,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,boruta,76,10,0.1,10
1000,FALSE,5.2,0.5120763831912405,1,0,boruta,76,10,0.1,10
1000,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,svm,76,10,0.1,10
1000,FALSE,9.9,0.09999999999999999,1,0,svm,76,10,0.1,10
3000,TRUE,0,0,0,0,fdr,76,10,0.1,10
3000,FALSE,0.1,0.09999999999999999,0.1,0.09486832980505139,fdr,76,10,0.1,10
3000,TRUE,0,0,0,0,tweedie,76,10,0.1,10
3000,FALSE,2.1,0.8359957469322967,0.6,0.15491933384829668,tweedie,76,10,0.1,10
3000,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,lasso,76,10,0.1,10
3000,FALSE,16.2,4.229000407240988,1,0,lasso,76,10,0.1,10
3000,TRUE,0,0,0,0,boruta,76,10,0.1,10
3000,FALSE,7.9,0.971253485622231,1,0,boruta,76,10,0.1,10
3000,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,svm,76,10,0.1,10
3000,FALSE,29.9,0.09999999999999999,1,0,svm,76,10,0.1,10
10000,TRUE,0,0,0,0,fdr,76,10,0.1,10
10000,FALSE,0.1,0.09999999999999999,0.1,0.09486832980505139,fdr,76,10,0.1,10
10000,TRUE,0,0,0,0,tweedie,76,10,0.1,10
10000,FALSE,0.6,0.26666666666666666,0.4,0.15491933384829668,tweedie,76,10,0.1,10
10000,TRUE,0,0,0,0,lasso,76,10,0.1,10
10000,FALSE,18.5,4.801041553663121,0.9,0.09486832980505137,lasso,76,10,0.1,10
10000,TRUE,0,0,0,0,boruta,76,10,0.1,10
10000,FALSE,8.6,0.5206833117271102,1,0,boruta,76,10,0.1,10
10000,TRUE,0,0,0,0,svm,76,10,0.1,10
10000,FALSE,100,0,1,0,svm,76,10,0.1,10
