p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,0.7894736842105263,NA,NA,NA,NA,NA,NA,fdr,NA,NA,76,10,0.3,10
100,0.6206140350877193,0.01834489501784326,NA,NA,NA,0.05801165169305995,0.013673477433331584,tweedie,NA,NA,76,10,0.3,10
100,0.5109467455621302,0.023881561997063375,NA,-0.038749838437869916,0.029424021902889685,0.07552012999323966,0.01780026534476978,lasso,0.5496965840000001,0.013040724780884647,76,10,0.3,10
100,0.5423076923076923,0.03646528885468689,NA,0.016967692307692274,0.03944057070773036,0.11531336831676335,0.027179621566081783,boruta,0.52534,0.0071189137748208006,76,10,0.3,10
100,0.5076923076923077,0.03129886055316333,NA,-0.025067692307692346,0.02989647634032127,0.09897568751599373,0.023328793271719963,svm,0.53276,0.010343309163147182,76,10,0.3,10
300,0.7894736842105263,0.026315789473684178,NA,NA,NA,0.0372161463782393,0.026315789473684178,fdr,NA,NA,76,10,0.3,10
300,0.6740131578947368,0.03558975111089271,NA,NA,NA,0.11254467486892879,0.026527034262084925,tweedie,NA,NA,76,10,0.3,10
300,0.5414201183431953,0.036027788557486055,NA,0.01633336634319506,0.0373654767987141,0.11392987090060812,0.026853528097842642,lasso,0.5250867520000002,0.010890914656551058,76,10,0.3,10
300,0.5076923076923077,0.04507280982371011,NA,-0.006317692307692335,0.04638764510877516,0.14253273958653637,0.03359528890091205,boruta,0.5140100000000001,0.00492498054141672,76,10,0.3,10
300,0.5230769230769231,0.034496471915573604,NA,0.0071469230769230395,0.038723928481174535,0.10908742249324432,0.025712152062378327,svm,0.51593,0.006396927213731431,76,10,0.3,10
1000,0.7719298245614035,0.03162764276722798,NA,NA,NA,0.05478068419647718,0.02739034209823859,fdr,NA,NA,76,10,0.3,10
1000,0.7110136452241715,0.016072638970799687,NA,NA,NA,0.048217916912399066,0.012054479228099766,tweedie,NA,NA,76,10,0.3,10
1000,0.5162721893491125,0.046191866367700334,NA,-0.005009746650887254,0.04545914024533615,0.14607150709606187,0.03442938440192142,lasso,0.5212819359999996,0.008462287812586315,76,10,0.3,10
1000,0.5269230769230769,0.021491095659282318,NA,0.01605307692307692,0.022334965274945127,0.0679608116958901,0.01601851693503531,boruta,0.51087,0.003787143455898594,76,10,0.3,10
1000,0.5038461538461538,0.04269442514191465,NA,-0.01038384615384615,0.0424503514999824,0.1350116268400079,0.031822545625865756,svm,0.51423,0.006087364874156241,76,10,0.3,10
3000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,76,10,0.3,10
3000,0.6564327485380117,0.05983445008678691,NA,NA,NA,0.10363630759325894,0.05181815379662947,tweedie,NA,NA,76,10,0.3,10
3000,0.5109467455621302,0.02719480535810175,NA,0.004756659562130344,0.027301181382473314,0.08599752545655251,0.020269811138530342,lasso,0.5061900859999998,0.0038992790694943828,76,10,0.3,10
3000,0.45769230769230773,0.02325430403489366,NA,-0.04323769230769229,0.022512231826016204,0.07353656615230764,0.017332734863823293,boruta,0.50093,0.0012724473357362356,76,10,0.3,10
3000,0.47307692307692306,0.028696191391794093,NA,-0.031493076923076915,0.029593877159840725,0.09074532497018661,0.021388878215798632,svm,0.50457,0.0033219823399089116,76,10,0.3,10
10000,NA,NA,NA,NA,NA,NA,NA,fdr,NA,NA,76,10,0.3,10
10000,0.7076023391812866,0.08187134502923978,NA,NA,NA,0.14180532927464493,0.07090266463732246,tweedie,NA,NA,76,10,0.3,10
10000,0.5538461538461539,0.014732288716688417,NA,0.054181445846153774,0.01608184381040453,0.046587587491934465,0.010980799678222816,lasso,0.4996647080000001,0.002003777075319516,76,10,0.3,10
10000,0.5230769230769231,0.02512297172085311,NA,0.026766923076923094,0.025402606291036033,0.07944581222989575,0.018725557521544145,boruta,0.49631000000000003,0.0015108092018664915,76,10,0.3,10
10000,0.5461538461538462,0.03837597319768144,NA,0.04798384615384616,0.03846873540272086,0.12135548273024852,0.028603761590908564,svm,0.49817,0.002463423543679722,76,10,0.3,10
