p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,0.7595248538011696,0.007670246782090098,NA,NA,NA,0.024255450046981916,0.005717064402984159,fdr,NA,NA,76,10,1,10
100,0.6520863858363859,0.027038117003470766,NA,NA,NA,0.08550203337309441,0.020153022534451184,tweedie,NA,NA,76,10,1,10
100,0.9514792899408284,0.010316920576427633,NA,0.011417693940824359,0.009228760132400397,0.03262496746056859,0.007689778575786169,lasso,0.940061596000004,0.0060188995530529275,76,10,1,10
100,0.876923076923077,0.01700833225823282,NA,0.018293076923076967,0.01935374367949445,0.05378506913693086,0.012677262371103701,boruta,0.85863,0.0059227442963545145,76,10,1,10
100,0.7115384615384615,0.02239006307252947,NA,-0.03624153846153849,0.017920332470265143,0.07080359626402093,0.016688567683561233,svm,0.74778,0.0074932087771379845,76,10,1,10
300,0.7440524606971975,0.00899657949594861,NA,NA,NA,0.028449682357967188,0.0067056544393072955,fdr,NA,NA,76,10,1,10
300,0.7166945773524721,0.017922668028358544,NA,NA,NA,0.056676452716692284,0.013358768016523947,tweedie,NA,NA,76,10,1,10
300,0.9023668639053255,0.02588639989823804,NA,0.0019252319053256195,0.02097262321877805,0.08185998410038317,0.019294583288401303,lasso,0.9004416319999998,0.016456666409036428,76,10,1,10
300,0.8,0.03129886055316336,NA,-0.003059999999999996,0.027847181848144525,0.09897568751599382,0.023328793271719984,boruta,0.80306,0.014839910152468341,76,10,1,10
300,0.7730769230769231,0.03413724860434448,NA,0.02153692307692314,0.023412186731998456,0.10795145864113274,0.02544440281470803,svm,0.75154,0.02170334434034431,76,10,1,10
1000,0.7606067251461989,0.01079861136883737,NA,NA,NA,0.0341482074925147,0.008048809694440806,fdr,NA,NA,76,10,1,10
1000,0.7281432748538011,0.022033049778391482,NA,NA,NA,0.06967462109958525,0.016422465685373346,tweedie,NA,NA,76,10,1,10
1000,0.8964497041420119,0.036382380169027055,NA,0.02053091214201088,0.023126685289456727,0.11505118803226733,0.027117825080394932,lasso,0.8759187920000009,0.021916305571019274,76,10,1,10
1000,0.823076923076923,0.023076923076923078,NA,0.02490692307692307,0.015769211484249205,0.072975638311578,0.01720052290384454,boruta,0.79817,0.016055051472286773,76,10,1,10
1000,0.7384615384615385,0.03750958676494307,NA,-0.004928461538461515,0.02680194633756885,0.118615728268927,0.027957995271446382,svm,0.74339,0.020608873223821704,76,10,1,10
3000,0.7909649122807018,0.009415976503905975,NA,NA,NA,0.029775932146972228,0.007018254512424859,fdr,NA,NA,76,10,1,10
3000,0.7668817878028404,0.018833305683251766,NA,NA,NA,0.059556141829269243,0.014037517249594693,tweedie,NA,NA,76,10,1,10
3000,0.8804733727810651,0.0355445734627949,NA,0.011287084781065226,0.020593227726108682,0.11240181060161014,0.026493360831348168,lasso,0.8691862879999999,0.017611089729978976,76,10,1,10
3000,0.8076923076923077,0.024325212770525996,NA,0.05314230769230769,0.019092038822944784,0.07692307692307693,0.018130943107347374,boruta,0.75455,0.014622435197705995,76,10,1,10
3000,0.7346153846153846,0.019400956346694302,NA,-9.64615384615386e-4,0.01709992511066261,0.06135121084105333,0.014460619073238147,svm,0.73558,0.010921322671219306,76,10,1,10
10000,0.8204072681704261,0.018981862751557572,NA,NA,NA,0.060025920527632795,0.014148245150684646,fdr,NA,NA,76,10,1,10
10000,0.8054793233082707,0.011989004912361628,NA,NA,NA,0.03791256240201014,0.008936076655539837,tweedie,NA,NA,76,10,1,10
10000,0.8366863905325443,0.024873976758081975,NA,0.05247563053254308,0.03362883394529739,0.07865842102163012,0.01853996763394038,lasso,0.7842107600000013,0.02434780180952741,76,10,1,10
10000,0.7269230769230769,0.033652319867709446,NA,0.05096307692307689,0.024880448370379317,0.1064179793304981,0.02508295827492169,boruta,0.67596,0.02061102833166965,76,10,1,10
10000,0.6384615384615384,0.014276318879051335,NA,0.008801538461538461,0.01596197271780811,0.04514568426066412,0.010640939827340797,svm,0.62966,0.00820550221903978,76,10,1,10
