p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.07296180725097656,0.012535938436210942,fdr,76,10,1,10
100,0.012454867362976074,5.897669654979881e-4,tweedie,76,10,1,10
100,1.0408252000808715,0.008408649129319351,lasso,76,10,1,10
100,0.7888520717620849,0.04380577628821026,boruta,76,10,1,10
100,0.9788796901702881,0.011699437604855461,svm,76,10,1,10
300,0.1756441593170166,0.0019638016159943335,fdr,76,10,1,10
300,0.01843860149383545,9.240718307192636e-4,tweedie,76,10,1,10
300,1.0837822914123536,0.015261280046073201,lasso,76,10,1,10
300,1.1605230808258056,0.041002203358009706,boruta,76,10,1,10
300,1.942214846611023,0.011922029035473687,svm,76,10,1,10
1000,0.5905855655670166,0.006584433094419915,fdr,76,10,1,10
1000,0.04029839038848877,0.0011016962714055338,tweedie,76,10,1,10
1000,1.1677502632141112,0.017667514730078437,lasso,76,10,1,10
1000,2.6908390522003174,0.015422860709266361,boruta,76,10,1,10
1000,4.888966631889343,0.06774888435237654,svm,76,10,1,10
3000,1.8231616258621215,0.023291931463367284,fdr,76,10,1,10
3000,0.10681540966033935,0.0022004729474367915,tweedie,76,10,1,10
3000,4.087977719306946,0.06264502919600386,lasso,76,10,1,10
3000,7.221149897575378,0.0775679614347281,boruta,76,10,1,10
3000,3.727169418334961,0.05146178646872212,svm,76,10,1,10
10000,5.995472192764282,0.04140890909131824,fdr,76,10,1,10
10000,0.3352497577667236,0.015186121219255125,tweedie,76,10,1,10
10000,5.184008049964905,0.04713262463337734,lasso,76,10,1,10
10000,24.899057817459106,0.2298369209952244,boruta,76,10,1,10
10000,5.107982802391052,0.12767209355019593,svm,76,10,1,10
