p,detection,mean_nr,mean_se,a_detection,a_det_se,n,sig_p,d,nsims
100,TRUE,1.4375,0.06681237991776441,0.6775,0.023371657515033034,10,30,1.19,400
100,FALSE,0.625,0.041866687818266454,0.43,0.024753787588973127,10,30,1.19,400
300,TRUE,0.59,0.04103608046279973,0.4125,0.02461421083439402,10,30,1.19,400
300,FALSE,0.98,0.056186228121991255,0.5625,0.024803918541230537,10,30,1.19,400
1000,TRUE,0.18,0.021683529200674213,0.1625,0.018445443204217135,10,30,1.19,400
1000,FALSE,1.1375,0.06289972427032735,0.61,0.024387496796514398,10,30,1.19,400
3000,TRUE,0.0975,0.016828320055481603,0.085,0.013944084767384343,10,30,1.19,400
3000,FALSE,1.225,0.06696752289585614,0.6425,0.023963187913965036,10,30,1.19,400
6000,TRUE,0.0275,0.008186998372779229,0.0275,0.008176758220713145,10,30,1.19,400
6000,FALSE,1.1475,0.06801414695093705,0.605,0.024442534647617867,10,30,1.19,400
