p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.061495637893676756,0.002151976901820226,fdr,10,1,1.5,10
100,0.015398120880126953,5.071688326285564e-4,tweedie,10,1,1.5,10
100,2.1375001192092897,0.03355742847855766,lasso,10,1,1.5,10
100,0.13906772136688234,0.0033919707184159845,boruta,10,1,1.5,10
100,0.9901910543441772,0.04844546940663003,svm,10,1,1.5,10
300,0.16804540157318115,0.003529989766668825,fdr,10,1,1.5,10
300,0.02540931701660156,0.0017302834927776125,tweedie,10,1,1.5,10
300,2.1042829036712645,0.028455786533645274,lasso,10,1,1.5,10
300,0.3304023027420044,0.003927907588831466,boruta,10,1,1.5,10
300,1.7372177362442016,0.03407376750479593,svm,10,1,1.5,10
1000,0.534389328956604,0.005939804395746298,fdr,10,1,1.5,10
1000,0.04401652812957764,0.0013963633087272168,tweedie,10,1,1.5,10
1000,2.2385770082473755,0.034012255537973525,lasso,10,1,1.5,10
1000,1.0845175743103028,0.014677914092406687,boruta,10,1,1.5,10
1000,4.191931128501892,0.04670288530149931,svm,10,1,1.5,10
3000,1.6168526649475097,0.01748884789805485,fdr,10,1,1.5,10
3000,0.11916978359222412,0.0029212009818703937,tweedie,10,1,1.5,10
3000,5.337866115570068,0.05494900692657659,lasso,10,1,1.5,10
3000,3.581229400634766,0.03699139679707918,boruta,10,1,1.5,10
3000,3.214613652229309,0.04815573401794037,svm,10,1,1.5,10
10000,5.104233765602112,0.05199548747861902,fdr,10,1,1.5,10
10000,0.34300856590270995,0.006914232985432254,tweedie,10,1,1.5,10
10000,6.643740391731262,0.045119721791731925,lasso,10,1,1.5,10
10000,13.207205772399902,0.10404589877640844,boruta,10,1,1.5,10
10000,4.191642785072327,0.12648162028439502,svm,10,1,1.5,10
