p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims,correlated
100,TRUE,0,0,0,0,fdr,20,0,0,100,no
100,FALSE,0.05,0.026111648393354676,0.04,0.019595917942265423,fdr,20,0,0,100,no
100,TRUE,0.01,0.01,0.01,0.0099498743710662,tweedie,20,0,0,100,no
100,FALSE,2.94,0.18739037199160344,0.94,0.023748684174075843,tweedie,20,0,0,100,no
100,TRUE,0,0,0,0,lasso,20,0,0,100,no
100,FALSE,1.48,0.22041283579187984,0.59,0.04918333050943175,lasso,20,0,0,100,no
100,TRUE,0.02,0.014070529413628968,0.02,0.014,boruta,20,0,0,100,no
100,FALSE,2.58,0.1897260119118082,0.77,0.042083250825001625,boruta,20,0,0,100,no
100,TRUE,0.02,0.014070529413628968,0.02,0.014,svm,20,0,0,100,no
100,FALSE,1.98,0.014070529413628968,1,0,svm,20,0,0,100,no
300,TRUE,0,0,0,0,fdr,20,0,0,100,no
300,FALSE,0.01,0.01,0.01,0.0099498743710662,fdr,20,0,0,100,no
300,TRUE,0,0,0,0,tweedie,20,0,0,100,no
300,FALSE,3.05,0.21666666666666665,0.96,0.019595917942265433,tweedie,20,0,0,100,no
300,TRUE,0,0,0,0,lasso,20,0,0,100,no
300,FALSE,1.46,0.2002120088427477,0.56,0.04963869458396342,lasso,20,0,0,100,no
300,TRUE,0.01,0.01,0.01,0.0099498743710662,boruta,20,0,0,100,no
300,FALSE,4.83,0.22475800678988417,0.94,0.023748684174075843,boruta,20,0,0,100,no
300,TRUE,0,0,0,0,svm,20,0,0,100,no
300,FALSE,3,0,1,0,svm,20,0,0,100,no
1000,TRUE,0,0,0,0,fdr,20,0,0,100,no
1000,FALSE,0.08,0.027265992434429075,0.08,0.027129319932501072,fdr,20,0,0,100,no
1000,TRUE,0.01,0.01,0.01,0.0099498743710662,tweedie,20,0,0,100,no
1000,FALSE,3.53,0.2528444245584684,0.95,0.021794494717703377,tweedie,20,0,0,100,no
1000,TRUE,0,0,0,0,lasso,20,0,0,100,no
1000,FALSE,1.68,0.20835090834959424,0.59,0.04918333050943175,lasso,20,0,0,100,no
1000,TRUE,0,0,0,0,boruta,20,0,0,100,no
1000,FALSE,5.54,0.2129257470043812,0.97,0.017058722109231986,boruta,20,0,0,100,no
1000,TRUE,0,0,0,0,svm,20,0,0,100,no
1000,FALSE,10,0,1,0,svm,20,0,0,100,no
3000,TRUE,0,0,0,0,fdr,20,0,0,100,no
3000,FALSE,0.03,0.01714466079977653,0.03,0.01705872210923198,fdr,20,0,0,100,no
3000,TRUE,0,0,0,0,tweedie,20,0,0,100,no
3000,FALSE,4.16,0.22550504484938969,0.99,0.009949874371066205,tweedie,20,0,0,100,no
3000,TRUE,0,0,0,0,lasso,20,0,0,100,no
3000,FALSE,1.77,0.23777376566047742,0.59,0.04918333050943175,lasso,20,0,0,100,no
3000,TRUE,0,0,0,0,boruta,20,0,0,100,no
3000,FALSE,6.88,0.2230550052196439,0.99,0.009949874371066205,boruta,20,0,0,100,no
3000,TRUE,0,0,0,0,svm,20,0,0,100,no
3000,FALSE,30,0,1,0,svm,20,0,0,100,no
10000,TRUE,0,0,0,0,fdr,20,0,0,100,no
10000,FALSE,0.09,0.032082595426382345,0.08,0.027129319932501072,fdr,20,0,0,100,no
10000,TRUE,0,0,0,0,tweedie,20,0,0,100,no
10000,FALSE,7.93,0.36934421819645624,1,0,tweedie,20,0,0,100,no
10000,TRUE,0,0,0,0,lasso,20,0,0,100,no
10000,FALSE,1.79,0.2180237221825722,0.6,0.04898979485566356,lasso,20,0,0,100,no
10000,TRUE,0,0,0,0,boruta,20,0,0,100,no
10000,FALSE,8.88,0.27015895059364325,1,0,boruta,20,0,0,100,no
10000,TRUE,0.01,0.01,0.01,0.0099498743710662,svm,20,0,0,100,no
10000,FALSE,99.99,0.01,1,0,svm,20,0,0,100,no
