p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,96,0.96,0.019595917942265433,fdr,20,0,0,100,no
100,TRUE,6,0.06,0.023748684174075833,tweedie,20,0,0,100,no
100,TRUE,41,0.41,0.04918333050943175,lasso,20,0,0,100,no
100,TRUE,8,0.08,0.027129319932501072,boruta,20,0,0,100,no
100,TRUE,0,0,0,svm,20,0,0,100,no
300,TRUE,99,0.99,0.009949874371066205,fdr,20,0,0,100,no
300,TRUE,4,0.04,0.019595917942265423,tweedie,20,0,0,100,no
300,TRUE,44,0.44,0.04963869458396343,lasso,20,0,0,100,no
300,TRUE,3,0.03,0.01705872210923198,boruta,20,0,0,100,no
300,TRUE,0,0,0,svm,20,0,0,100,no
1000,TRUE,92,0.92,0.027129319932501065,fdr,20,0,0,100,no
1000,TRUE,5,0.05,0.021794494717703367,tweedie,20,0,0,100,no
1000,TRUE,41,0.41,0.04918333050943175,lasso,20,0,0,100,no
1000,TRUE,0,0,0,boruta,20,0,0,100,no
1000,TRUE,0,0,0,svm,20,0,0,100,no
3000,TRUE,97,0.97,0.017058722109231986,fdr,20,0,0,100,no
3000,TRUE,1,0.01,0.0099498743710662,tweedie,20,0,0,100,no
3000,TRUE,41,0.41,0.04918333050943175,lasso,20,0,0,100,no
3000,TRUE,1,0.01,0.0099498743710662,boruta,20,0,0,100,no
3000,TRUE,0,0,0,svm,20,0,0,100,no
10000,TRUE,92,0.92,0.027129319932501065,fdr,20,0,0,100,no
10000,TRUE,0,0,0,tweedie,20,0,0,100,no
10000,TRUE,40,0.4,0.04898979485566356,lasso,20,0,0,100,no
10000,TRUE,0,0,0,boruta,20,0,0,100,no
10000,TRUE,0,0,0,svm,20,0,0,100,no
