p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,0.825,0.11086778913041725,NA,NA,NA,0.2217355782608345,0.09052317076000181,fdr,NA,NA,20,0,0,100,no
100,0.6917629179331307,0.013604144503800134,NA,NA,NA,0.13189707457690594,0.009671162733229769,tweedie,NA,NA,20,0,0,100,no
100,0.4809375,0.01493683433282848,NA,0.4809375,0.01493683433282848,0.1493683433282848,0.010615145932813696,lasso,0,0,20,0,0,100,no
100,0.4967532467532468,0.01933041968070479,NA,0.4967532467532468,0.01933041968070479,0.16962374429152832,0.013758302428246398,boruta,0,0,20,0,0,100,no
100,0.46625,0.017842517459510283,NA,0.46625,0.017842517459510283,0.17842517459510282,0.012680125013183595,svm,0,0,20,0,0,100,no
300,0.9,NA,NA,NA,NA,NA,NA,fdr,NA,NA,20,0,0,100,no
300,0.7412156911375661,0.014733270119275737,NA,NA,NA,0.14435597613927922,0.010472683225049462,tweedie,NA,NA,20,0,0,100,no
300,0.498125,0.016558717645110837,NA,0.498125,0.016558717645110837,0.16558717645110838,0.011767768212893057,lasso,0,0,20,0,0,100,no
300,0.4867021276595745,0.0175811601668766,NA,0.4867021276595745,0.0175811601668766,0.17045567202195602,0.012498416270522929,boruta,0,0,20,0,0,100,no
300,0.50875,0.01778936451644605,NA,0.50875,0.01778936451644605,0.17789364516446052,0.012642350861391252,svm,0,0,20,0,0,100,no
1000,0.975,0.016366341767699424,NA,NA,NA,0.046291004988627565,0.012371791482634837,fdr,NA,NA,20,0,0,100,no
1000,0.7769632735685367,0.015442805512473344,NA,NA,NA,0.15051784943695987,0.010977642414201762,tweedie,NA,NA,20,0,0,100,no
1000,0.500625,0.016983145796984025,NA,0.500625,0.016983145796984025,0.16983145796984025,0.012069396166295897,lasso,0,0,20,0,0,100,no
1000,0.49097938144329895,0.017784361127863295,NA,0.49097938144329895,0.017784361127863295,0.17515564384411578,0.012640769765435309,boruta,0,0,20,0,0,100,no
1000,0.51625,0.01800103462234178,NA,0.51625,0.01800103462234178,0.1800103462234178,0.012792778255418044,svm,0,0,20,0,0,100,no
3000,0.9666666666666667,0.033333333333333326,NA,NA,NA,0.05773502691896256,0.02886751345948128,fdr,NA,NA,20,0,0,100,no
3000,0.7593879268879269,0.016072632644302382,NA,NA,NA,0.15992067562310625,0.011422905401650446,tweedie,NA,NA,20,0,0,100,no
3000,0.5075,0.017900142133062475,NA,0.5075,0.017900142133062475,0.17900142133062474,0.01272107708545388,lasso,0,0,20,0,0,100,no
3000,0.5290404040404041,0.017841649377890678,NA,0.5290404040404041,0.017841649377890678,0.17752216988262365,0.012680154991615974,boruta,0,0,20,0,0,100,no
3000,0.505,0.014315175249512053,NA,0.505,0.014315175249512053,0.14315175249512052,0.010173352059840246,svm,0,0,20,0,0,100,no
10000,0.98125,0.013152607020228779,NA,NA,NA,0.03720119045714224,0.009942436362196466,fdr,NA,NA,20,0,0,100,no
10000,0.69626156168393,0.01389670771633321,NA,NA,NA,0.1389670771633321,0.009875960133689264,tweedie,NA,NA,20,0,0,100,no
10000,0.5125,0.01577266086645119,NA,0.5125,0.01577266086645119,0.1577266086645119,0.011209141985204991,lasso,0,0,20,0,0,100,no
10000,0.495,0.016372402253657083,NA,0.495,0.016372402253657083,0.16372402253657084,0.011635359629806337,boruta,0,0,20,0,0,100,no
10000,0.51375,0.017215857002288105,NA,0.51375,0.017215857002288105,0.17215857002288104,0.012234776818545253,svm,0,0,20,0,0,100,no
