p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.06860063552856445,8.136919937751254e-4,fdr,20,0,0,100,no
100,0.013921921253204345,1.5434245227774075e-4,tweedie,20,0,0,100,no
100,0.35996644258499144,0.0018785340362781021,lasso,20,0,0,100,no
100,0.3997911715507507,0.010741446751171575,boruta,20,0,0,100,no
100,0.7646963787078858,0.004392877480089362,svm,20,0,0,100,no
300,0.1710358715057373,9.943882835285773e-4,fdr,20,0,0,100,no
300,0.019820427894592284,1.4042231185432363e-4,tweedie,20,0,0,100,no
300,0.36047781467437745,0.0016197100382176785,lasso,20,0,0,100,no
300,0.6010261702537537,0.008832741721302403,boruta,20,0,0,100,no
300,1.4964050221443177,0.006061128735191355,svm,20,0,0,100,no
1000,0.4911991810798645,0.00181731871513888,fdr,20,0,0,100,no
1000,0.038501834869384764,2.4356996142836797e-4,tweedie,20,0,0,100,no
1000,0.379522545337677,0.0022502024964478323,lasso,20,0,0,100,no
1000,1.3830698132514954,0.008234058535410062,boruta,20,0,0,100,no
1000,3.5858971214294435,0.0110473446942886,svm,20,0,0,100,no
3000,1.463745095729828,0.005013647138503005,fdr,20,0,0,100,no
3000,0.10269595861434937,0.001509322529021004,tweedie,20,0,0,100,no
3000,2.8202070951461793,0.005350880622614736,lasso,20,0,0,100,no
3000,3.775290699005127,0.014950259737877267,boruta,20,0,0,100,no
3000,2.6741609287261965,0.010751055794486226,svm,20,0,0,100,no
10000,4.569386887550354,0.015302322153302017,fdr,20,0,0,100,no
10000,0.310819718837738,0.0016056967902983905,tweedie,20,0,0,100,no
10000,2.7513890647888184,0.009973363892570778,lasso,20,0,0,100,no
10000,13.213763904571532,0.03979474195987026,boruta,20,0,0,100,no
10000,3.3887006759643556,0.02016615582510395,svm,20,0,0,100,no
