p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims,correlated
100,TRUE,0.01,0.01,0.01,0.0099498743710662,fdr,30,3,0.5,100,no
100,FALSE,0.07,0.03258245174347937,0.05,0.021794494717703367,fdr,30,3,0.5,100,no
100,TRUE,0.43,0.06396811074214395,0.36,0.048,tweedie,30,3,0.5,100,no
100,FALSE,2.36,0.17553381785889924,0.92,0.027129319932501065,tweedie,30,3,0.5,100,no
100,TRUE,0.15,0.041132945334843116,0.13,0.03363034344160047,lasso,30,3,0.5,100,no
100,FALSE,1.85,0.3023059524536176,0.51,0.04998999899979995,lasso,30,3,0.5,100,no
100,TRUE,0.24,0.049482166974424716,0.21,0.0407308237088326,boruta,30,3,0.5,100,no
100,FALSE,2.19,0.1779200819344336,0.72,0.0448998886412873,boruta,30,3,0.5,100,no
100,TRUE,0.14,0.034873508801977704,0.14,0.03469870314579494,svm,30,3,0.5,100,no
100,FALSE,1.86,0.034873508801977704,1,0,svm,30,3,0.5,100,no
300,TRUE,0,0,0,0,fdr,30,3,0.5,100,no
300,FALSE,0.03,0.022270150335361366,0.02,0.014,fdr,30,3,0.5,100,no
300,TRUE,0.16,0.03949172013974524,0.15,0.035707142142714254,tweedie,30,3,0.5,100,no
300,FALSE,3.12,0.19606224532123476,0.94,0.023748684174075843,tweedie,30,3,0.5,100,no
300,TRUE,0.08,0.027265992434429075,0.08,0.027129319932501072,lasso,30,3,0.5,100,no
300,FALSE,2.75,0.40261142506883674,0.59,0.04918333050943175,lasso,30,3,0.5,100,no
300,TRUE,0.15,0.03588702812826367,0.15,0.035707142142714254,boruta,30,3,0.5,100,no
300,FALSE,4.08,0.19419869029715756,0.95,0.021794494717703377,boruta,30,3,0.5,100,no
300,TRUE,0.12,0.032659863237109045,0.12,0.03249615361854384,svm,30,3,0.5,100,no
300,FALSE,2.88,0.032659863237109045,1,0,svm,30,3,0.5,100,no
1000,TRUE,0,0,0,0,fdr,30,3,0.5,100,no
1000,FALSE,0.04,0.019694638556693237,0.04,0.019595917942265423,fdr,30,3,0.5,100,no
1000,TRUE,0.04,0.019694638556693237,0.04,0.019595917942265423,tweedie,30,3,0.5,100,no
1000,FALSE,2.74,0.1899601234071206,0.95,0.021794494717703377,tweedie,30,3,0.5,100,no
1000,TRUE,0.04,0.019694638556693237,0.04,0.019595917942265423,lasso,30,3,0.5,100,no
1000,FALSE,2.72,0.3673767229502389,0.7,0.045825756949558406,lasso,30,3,0.5,100,no
1000,TRUE,0.06,0.023868325657594204,0.06,0.023748684174075833,boruta,30,3,0.5,100,no
1000,FALSE,5.8,0.23050230613014078,0.97,0.017058722109231986,boruta,30,3,0.5,100,no
1000,TRUE,0.09,0.028762349126466136,0.09,0.02861817604250837,svm,30,3,0.5,100,no
1000,FALSE,9.91,0.028762349126466136,1,0,svm,30,3,0.5,100,no
3000,TRUE,0.01,0.01,0.01,0.0099498743710662,fdr,30,3,0.5,100,no
3000,FALSE,0.02,0.02,0.01,0.0099498743710662,fdr,30,3,0.5,100,no
3000,TRUE,0.04,0.019694638556693237,0.04,0.019595917942265423,tweedie,30,3,0.5,100,no
3000,FALSE,2.61,0.2651071824410236,0.8,0.04,tweedie,30,3,0.5,100,no
3000,TRUE,0.01,0.01,0.01,0.0099498743710662,lasso,30,3,0.5,100,no
3000,FALSE,1.87,0.31515748828838325,0.56,0.04963869458396342,lasso,30,3,0.5,100,no
3000,TRUE,0.02,0.014070529413628968,0.02,0.014,boruta,30,3,0.5,100,no
3000,FALSE,7.55,0.25559398042262815,1,0,boruta,30,3,0.5,100,no
3000,TRUE,0.23,0.05096047190685833,0.19,0.039230090491866064,svm,30,3,0.5,100,no
3000,FALSE,29.77,0.05096047190685833,1,0,svm,30,3,0.5,100,no
10000,TRUE,0,0,0,0,fdr,30,3,0.5,100,no
10000,FALSE,0.01,0.01,0.01,0.0099498743710662,fdr,30,3,0.5,100,no
10000,TRUE,0,0,0,0,tweedie,30,3,0.5,100,no
10000,FALSE,2.93,0.22752733213547524,0.85,0.035707142142714254,tweedie,30,3,0.5,100,no
10000,TRUE,0.01,0.01,0.01,0.0099498743710662,lasso,30,3,0.5,100,no
10000,FALSE,2.51,0.3322695145556244,0.69,0.04624932431938871,lasso,30,3,0.5,100,no
10000,TRUE,0.01,0.01,0.01,0.0099498743710662,boruta,30,3,0.5,100,no
10000,FALSE,9.15,0.2886313926240193,1,0,boruta,30,3,0.5,100,no
10000,TRUE,0.21,0.04333333333333333,0.2,0.04,svm,30,3,0.5,100,no
10000,FALSE,99.79,0.04333333333333333,1,0,svm,30,3,0.5,100,no
