p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims
100,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,fdr,30,3,0.7,10
100,FALSE,0.3,0.21343747458109494,0.2,0.1264911064067352,fdr,30,3,0.7,10
100,TRUE,0.6,0.22110831935702663,0.5,0.15811388300841897,tweedie,30,3,0.7,10
100,FALSE,3.3,0.5385164807134504,1,0,tweedie,30,3,0.7,10
100,TRUE,0.5,0.30731814857642953,0.3,0.14491376746189438,lasso,30,3,0.7,10
100,FALSE,3.5,1.1474609652039003,0.8,0.12649110640673517,lasso,30,3,0.7,10
100,TRUE,0.7,0.3,0.5,0.15811388300841897,boruta,30,3,0.7,10
100,FALSE,2.3,0.6155395104206463,0.7,0.14491376746189438,boruta,30,3,0.7,10
100,TRUE,0.4,0.22110831935702663,0.3,0.14491376746189438,svm,30,3,0.7,10
100,FALSE,1.6,0.22110831935702663,0.9,0.09486832980505137,svm,30,3,0.7,10
300,TRUE,0,0,0,0,fdr,30,3,0.7,10
300,FALSE,0,0,0,0,fdr,30,3,0.7,10
300,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,tweedie,30,3,0.7,10
300,FALSE,2.4,0.6,0.9,0.09486832980505137,tweedie,30,3,0.7,10
300,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,lasso,30,3,0.7,10
300,FALSE,2.9,1.40988573217044,0.6,0.15491933384829668,lasso,30,3,0.7,10
300,TRUE,0.3,0.21343747458109494,0.2,0.1264911064067352,boruta,30,3,0.7,10
300,FALSE,3.3,0.5587684871413403,0.9,0.09486832980505137,boruta,30,3,0.7,10
300,TRUE,0.3,0.15275252316519466,0.3,0.14491376746189438,svm,30,3,0.7,10
300,FALSE,2.7,0.15275252316519466,1,0,svm,30,3,0.7,10
1000,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,fdr,30,3,0.7,10
1000,FALSE,0.1,0.09999999999999999,0.1,0.09486832980505139,fdr,30,3,0.7,10
1000,TRUE,0.3,0.21343747458109494,0.2,0.1264911064067352,tweedie,30,3,0.7,10
1000,FALSE,3.5,1.3844373104863459,0.8,0.12649110640673517,tweedie,30,3,0.7,10
1000,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,lasso,30,3,0.7,10
1000,FALSE,3.5,1.2931443160847216,0.8,0.12649110640673517,lasso,30,3,0.7,10
1000,TRUE,0.4,0.1632993161855452,0.4,0.15491933384829668,boruta,30,3,0.7,10
1000,FALSE,6.3,0.7310570733153768,1,0,boruta,30,3,0.7,10
1000,TRUE,0.4,0.1632993161855452,0.4,0.15491933384829668,svm,30,3,0.7,10
1000,FALSE,9.6,0.1632993161855452,1,0,svm,30,3,0.7,10
3000,TRUE,0,0,0,0,fdr,30,3,0.7,10
3000,FALSE,0,0,0,0,fdr,30,3,0.7,10
3000,TRUE,0.1,0.09999999999999999,0.1,0.09486832980505139,tweedie,30,3,0.7,10
3000,FALSE,2.9,0.4818944098266987,1,0,tweedie,30,3,0.7,10
3000,TRUE,0,0,0,0,lasso,30,3,0.7,10
3000,FALSE,3.3,1.358512258154322,0.6,0.15491933384829668,lasso,30,3,0.7,10
3000,TRUE,0,0,0,0,boruta,30,3,0.7,10
3000,FALSE,9.2,0.44221663871405326,1,0,boruta,30,3,0.7,10
3000,TRUE,0.5,0.16666666666666666,0.5,0.15811388300841897,svm,30,3,0.7,10
3000,FALSE,29.5,0.16666666666666666,1,0,svm,30,3,0.7,10
10000,TRUE,0,0,0,0,fdr,30,3,0.7,10
10000,FALSE,0,0,0,0,fdr,30,3,0.7,10
10000,TRUE,0,0,0,0,tweedie,30,3,0.7,10
10000,FALSE,2.6,0.6182412330330469,0.9,0.09486832980505137,tweedie,30,3,0.7,10
10000,TRUE,0,0,0,0,lasso,30,3,0.7,10
10000,FALSE,3.2,0.9865765724632494,0.9,0.09486832980505137,lasso,30,3,0.7,10
10000,TRUE,0,0,0,0,boruta,30,3,0.7,10
10000,FALSE,8.9,0.7371114795831993,1,0,boruta,30,3,0.7,10
10000,TRUE,0.2,0.13333333333333333,0.2,0.1264911064067352,svm,30,3,0.7,10
10000,FALSE,99.8,0.13333333333333333,1,0,svm,30,3,0.7,10
