p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims,correlated
100,TRUE,0.66,0.11910440204231994,0.26,0.04386342439892262,fdr,30,3,0.95,100,block
100,FALSE,0.22,0.13452497796680624,0.05,0.021794494717703367,fdr,30,3,0.95,100,block
100,TRUE,1.74,0.12359922199094812,0.75,0.04330127018922193,tweedie,30,3,0.95,100,block
100,FALSE,5.12,0.6299398720705354,0.79,0.0407308237088326,tweedie,30,3,0.95,100,block
100,TRUE,0.6,0.06816498108607269,0.49,0.04998999899979995,lasso,30,3,0.95,100,block
100,FALSE,2.55,0.3108720221271354,0.62,0.048538644398046386,lasso,30,3,0.95,100,block
100,TRUE,0.97,0.12098501451573966,0.46,0.04983974317750845,boruta,30,3,0.95,100,block
100,FALSE,2.15,0.22127956630616946,0.7,0.045825756949558406,boruta,30,3,0.95,100,block
100,TRUE,0.63,0.07338152686370382,0.48,0.049959983987187186,svm,30,3,0.95,100,block
100,FALSE,1.37,0.07338152686370382,0.85,0.035707142142714254,svm,30,3,0.95,100,block
300,TRUE,0.31,0.08726483550177308,0.13,0.03363034344160047,fdr,30,3,0.95,100,block
300,FALSE,0.08,0.04187523556393866,0.04,0.019595917942265423,fdr,30,3,0.95,100,block
300,TRUE,1.35,0.13953385599809448,0.52,0.049959983987187186,tweedie,30,3,0.95,100,block
300,FALSE,2.58,0.29616402771628314,0.83,0.037563279941985904,tweedie,30,3,0.95,100,block
300,TRUE,0.33,0.06039432711335352,0.27,0.044395945760846225,lasso,30,3,0.95,100,block
300,FALSE,2.68,0.35982038167772973,0.6,0.04898979485566356,lasso,30,3,0.95,100,block
300,TRUE,0.71,0.10473149893268437,0.38,0.048538644398046386,boruta,30,3,0.95,100,block
300,FALSE,3.38,0.22146436428117428,0.86,0.03469870314579494,boruta,30,3,0.95,100,block
300,TRUE,0.52,0.068872595010166,0.41,0.04918333050943175,svm,30,3,0.95,100,block
300,FALSE,2.48,0.068872595010166,1,0,svm,30,3,0.95,100,block
1000,TRUE,0.19,0.06918720031095843,0.08,0.027129319932501072,fdr,30,3,0.95,100,block
1000,FALSE,0.04,0.024287836253956217,0.03,0.01705872210923198,fdr,30,3,0.95,100,block
1000,TRUE,0.93,0.1312373129991327,0.36,0.048,tweedie,30,3,0.95,100,block
1000,FALSE,2.63,0.26880017736886885,0.87,0.03363034344160047,tweedie,30,3,0.95,100,block
1000,TRUE,0.21,0.05373898759633259,0.16,0.03666060555964672,lasso,30,3,0.95,100,block
1000,FALSE,2.46,0.3619308489116939,0.57,0.04950757517794625,lasso,30,3,0.95,100,block
1000,TRUE,0.49,0.09373829893308651,0.26,0.04386342439892262,boruta,30,3,0.95,100,block
1000,FALSE,5.28,0.2605665932059394,0.96,0.019595917942265433,boruta,30,3,0.95,100,block
1000,TRUE,0.85,0.12091820425896227,0.38,0.048538644398046386,svm,30,3,0.95,100,block
1000,FALSE,9.15,0.12091820425896227,1,0,svm,30,3,0.95,100,block
3000,TRUE,0.07,0.043239992711573964,0.03,0.01705872210923198,fdr,30,3,0.95,100,block
3000,FALSE,0.06,0.023868325657594204,0.06,0.023748684174075833,fdr,30,3,0.95,100,block
3000,TRUE,0.47,0.09476712552783312,0.23,0.042083250825001625,tweedie,30,3,0.95,100,block
3000,FALSE,2.46,0.23156036366399588,0.76,0.04270831300812525,tweedie,30,3,0.95,100,block
3000,TRUE,0.12,0.04089898865164361,0.09,0.02861817604250837,lasso,30,3,0.95,100,block
3000,FALSE,2.59,0.3590377150218077,0.64,0.048,lasso,30,3,0.95,100,block
3000,TRUE,0.19,0.06145541210314741,0.11,0.03128897569432403,boruta,30,3,0.95,100,block
3000,FALSE,7.46,0.2610855349605883,1,0,boruta,30,3,0.95,100,block
3000,TRUE,0.65,0.10952145677879514,0.3,0.0458257569495584,svm,30,3,0.95,100,block
3000,FALSE,29.35,0.10952145677879514,1,0,svm,30,3,0.95,100,block
