p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,64,0.64,0.048,fdr,30,3,0.95,100,no
100,TRUE,1,0.01,0.0099498743710662,tweedie,30,3,0.95,100,no
100,TRUE,30,0.3,0.0458257569495584,lasso,30,3,0.95,100,no
100,TRUE,2,0.02,0.014,boruta,30,3,0.95,100,no
100,TRUE,0,0,0,svm,30,3,0.95,100,no
300,TRUE,77,0.77,0.042083250825001625,fdr,30,3,0.95,100,no
300,TRUE,1,0.01,0.0099498743710662,tweedie,30,3,0.95,100,no
300,TRUE,30,0.3,0.0458257569495584,lasso,30,3,0.95,100,no
300,TRUE,2,0.02,0.014,boruta,30,3,0.95,100,no
300,TRUE,0,0,0,svm,30,3,0.95,100,no
1000,TRUE,86,0.86,0.03469870314579494,fdr,30,3,0.95,100,no
1000,TRUE,6,0.06,0.023748684174075833,tweedie,30,3,0.95,100,no
1000,TRUE,40,0.4,0.04898979485566356,lasso,30,3,0.95,100,no
1000,TRUE,0,0,0,boruta,30,3,0.95,100,no
1000,TRUE,0,0,0,svm,30,3,0.95,100,no
3000,TRUE,94,0.94,0.023748684174075843,fdr,30,3,0.95,100,no
3000,TRUE,9,0.09,0.02861817604250837,tweedie,30,3,0.95,100,no
3000,TRUE,42,0.42,0.04935585071701227,lasso,30,3,0.95,100,no
3000,TRUE,0,0,0,boruta,30,3,0.95,100,no
3000,TRUE,0,0,0,svm,30,3,0.95,100,no
10000,TRUE,95,0.95,0.021794494717703377,fdr,30,3,0.95,100,no
10000,TRUE,7,0.07,0.02551470164434615,tweedie,30,3,0.95,100,no
10000,TRUE,38,0.38,0.048538644398046386,lasso,30,3,0.95,100,no
10000,TRUE,0,0,0,boruta,30,3,0.95,100,no
10000,TRUE,0,0,0,svm,30,3,0.95,100,no
