p,detection,mean_nr,mean_se,a_detection,a_det_se,method,n,sig_p,d,nsims
100,TRUE,2.9,0.09999999999999999,1,0,fdr,30,3,2,10
100,FALSE,0.2,0.19999999999999998,0.1,0.09486832980505139,fdr,30,3,2,10
100,TRUE,2.1,0.2333333333333333,1,0,tweedie,30,3,2,10
100,FALSE,2.6,0.6531972647421808,0.8,0.12649110640673517,tweedie,30,3,2,10
100,TRUE,2.9,0.09999999999999999,1,0,lasso,30,3,2,10
100,FALSE,6,1,0.9,0.09486832980505137,lasso,30,3,2,10
100,TRUE,2.9,0.09999999999999999,1,0,boruta,30,3,2,10
100,FALSE,2,0.3651483716701107,0.9,0.09486832980505137,boruta,30,3,2,10
100,TRUE,1.7,0.15275252316519466,1,0,svm,30,3,2,10
100,FALSE,0.3,0.15275252316519466,0.3,0.14491376746189438,svm,30,3,2,10
300,TRUE,2.3,0.2603416558635551,1,0,fdr,30,3,2,10
300,FALSE,0,0,0,0,fdr,30,3,2,10
300,TRUE,2.8,0.13333333333333333,1,0,tweedie,30,3,2,10
300,FALSE,1.2,0.3590109871423003,0.7,0.14491376746189438,tweedie,30,3,2,10
300,TRUE,2.2,0.19999999999999998,1,0,lasso,30,3,2,10
300,FALSE,3.4,0.8459051693633013,0.9,0.09486832980505137,lasso,30,3,2,10
300,TRUE,2.5,0.16666666666666666,1,0,boruta,30,3,2,10
300,FALSE,3.4,0.7180219742846006,1,0,boruta,30,3,2,10
300,TRUE,2,0.2581988897471611,1,0,svm,30,3,2,10
300,FALSE,1,0.2581988897471611,0.7,0.14491376746189438,svm,30,3,2,10
1000,TRUE,2.7,0.15275252316519466,1,0,fdr,30,3,2,10
1000,FALSE,0,0,0,0,fdr,30,3,2,10
1000,TRUE,3,0,1,0,tweedie,30,3,2,10
1000,FALSE,1.9,0.604611904907235,0.7,0.14491376746189438,tweedie,30,3,2,10
1000,TRUE,2.5,0.16666666666666666,1,0,lasso,30,3,2,10
1000,FALSE,5.9,0.9826268648655783,1,0,lasso,30,3,2,10
1000,TRUE,2.5,0.16666666666666666,1,0,boruta,30,3,2,10
1000,FALSE,5.2,0.41633319989322654,1,0,boruta,30,3,2,10
1000,TRUE,2.8,0.13333333333333333,1,0,svm,30,3,2,10
1000,FALSE,7.2,0.13333333333333333,1,0,svm,30,3,2,10
3000,TRUE,2.3,0.21343747458109494,1,0,fdr,30,3,2,10
3000,FALSE,0.1,0.09999999999999999,0.1,0.09486832980505139,fdr,30,3,2,10
3000,TRUE,2.9,0.09999999999999999,1,0,tweedie,30,3,2,10
3000,FALSE,1.8,0.69602043392737,0.7,0.14491376746189438,tweedie,30,3,2,10
3000,TRUE,2.2,0.3265986323710904,0.9,0.09486832980505137,lasso,30,3,2,10
3000,FALSE,5.4,1.3840359661351127,0.9,0.09486832980505137,lasso,30,3,2,10
3000,TRUE,2.2,0.29059326290271154,1,0,boruta,30,3,2,10
3000,FALSE,7.2,0.69602043392737,1,0,boruta,30,3,2,10
3000,TRUE,2.9,0.09999999999999999,1,0,svm,30,3,2,10
3000,FALSE,27.1,0.09999999999999999,1,0,svm,30,3,2,10
10000,TRUE,1.7,0.3,0.9,0.09486832980505137,fdr,30,3,2,10
10000,FALSE,0.3,0.21343747458109494,0.2,0.1264911064067352,fdr,30,3,2,10
10000,TRUE,3,0,1,0,tweedie,30,3,2,10
10000,FALSE,2.6,0.9213516640723501,0.7,0.14491376746189438,tweedie,30,3,2,10
10000,TRUE,1.2,0.3265986323710904,0.7,0.14491376746189438,lasso,30,3,2,10
10000,FALSE,4,1.3080944580232388,0.6,0.15491933384829668,lasso,30,3,2,10
10000,TRUE,0.9,0.27688746209726917,0.6,0.15491933384829668,boruta,30,3,2,10
10000,FALSE,8.2,1.030641655582687,1,0,boruta,30,3,2,10
10000,TRUE,2.8,0.13333333333333333,1,0,svm,30,3,2,10
10000,FALSE,97.2,0.13333333333333333,1,0,svm,30,3,2,10
