p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,0.8777777777777778,0.03852564036724694,NA,NA,NA,0.12182877187702613,0.028715316912624713,fdr,NA,NA,30,3,2,10
100,0.680074074074074,0.04595544650590814,NA,NA,NA,0.14532388184869632,0.0342531674411886,tweedie,NA,NA,30,3,2,10
100,0.988,0.006110100926607775,NA,0.020972463999986347,0.006670350187205291,0.019321835661585882,0.00455420034042648,lasso,0.9670275360000137,0.005840590234441526,30,3,2,10
100,0.9,0.0298142396999972,NA,0.005200000000000015,0.031112491239229156,0.09428090415820635,0.022222222222222227,boruta,0.8948,0.010295004182180363,30,3,2,10
100,0.86,0.03399346342395189,NA,-8.499999999999952e-4,0.023672901760827234,0.10749676997731397,0.02533723166886973,svm,0.86085,0.028847600516430393,30,3,2,10
300,0.9122222222222223,0.017564304742784257,NA,NA,NA,0.05554320850449617,0.013091659794129188,fdr,NA,NA,30,3,2,10
300,0.7581111111111111,0.046935162352127593,NA,NA,NA,0.14842201538250907,0.034983404518115414,tweedie,NA,NA,30,3,2,10
300,0.9400000000000001,0.014907119849998592,NA,-0.007795712000004729,0.009827042677078951,0.047140452079103154,0.011111111111111108,lasso,0.9477957120000048,0.00964392698941188,30,3,2,10
300,0.89,0.031446603773522014,NA,0.01702,0.028545802571384206,0.09944289260117532,0.023438914566365543,boruta,0.87298,0.012803496050341524,30,3,2,10
300,0.77,0.03666666666666665,NA,-0.05213999999999992,0.026460352731334964,0.11595018087284055,0.027329719724997426,svm,0.82214,0.031825483150735946,30,3,2,10
1000,0.9533333333333334,0.007554102983100421,NA,NA,NA,0.023888171106069778,0.0056304959264154965,fdr,NA,NA,30,3,2,10
1000,0.7757777777777778,0.047320174372103806,NA,NA,NA,0.14963953029217614,0.035270375534389185,tweedie,NA,NA,30,3,2,10
1000,0.932,0.024621580416825852,NA,-0.010892984000006888,0.020354126090988654,0.07786027371016765,0.018351842508500076,lasso,0.9428929840000069,0.013352426430974899,30,3,2,10
1000,0.75,0.05217491947499509,NA,-0.06312999999999994,0.04255115365977494,0.1649915822768611,0.03888888888888889,boruta,0.81313,0.022016171076935438,30,3,2,10
1000,0.7400000000000001,0.02211083193570266,NA,-0.04475999999999998,0.02490320015134154,0.06992058987801009,0.016480441082434804,svm,0.78476,0.017116348260589272,30,3,2,10
3000,0.9377777777777778,0.011499388663896312,NA,NA,NA,0.03636425987743282,0.008571138250720879,fdr,NA,NA,30,3,2,10
3000,0.798,0.04706088634226533,NA,NA,NA,0.14881958954786886,0.03507711364756558,tweedie,NA,NA,30,3,2,10
3000,0.92,0.04184627953726724,NA,0.0702540979999943,0.029917434928978377,0.13232955494186138,0.031190375216929335,lasso,0.8497459020000058,0.04715094076423057,30,3,2,10
3000,0.8,0.044721359549995794,NA,0.034780000000000054,0.04211489786550861,0.1414213562373095,0.03333333333333333,boruta,0.76522,0.03801312872621189,30,3,2,10
3000,0.6900000000000001,0.06227180564089802,NA,0.016160000000000035,0.05843702251141823,0.19692073983655908,0.04641466349823428,svm,0.67384,0.013058715267760633,30,3,2,10
10000,0.9411111111111111,0.006712803318663652,NA,NA,NA,0.020138409955990956,0.005034602488997739,fdr,NA,NA,30,3,2,10
10000,0.8441481481481481,0.0371816436265386,NA,NA,NA,0.11757868100854503,0.027713560888037378,tweedie,NA,NA,30,3,2,10
10000,0.758,0.06636264009214823,NA,0.02067639999999914,0.017753976499717536,0.20985709423319482,0.049463791470798796,lasso,0.7373236000000009,0.05782832141008518,30,3,2,10
10000,0.7300000000000001,0.03958114029012639,NA,0.11558000000000004,0.03497766843128469,0.12516655570345725,0.029502040105226123,boruta,0.61442,0.036181234546838414,30,3,2,10
10000,0.5700000000000001,0.039581140290126396,NA,-0.010260000000000002,0.036692546018685254,0.12516655570345728,0.029502040105226127,svm,0.58026,0.007107792281089177,30,3,2,10
