p,mean_time,mean_time_se,method,n,sig_p,d,nsims
100,0.06940248012542724,0.003152253926085951,fdr,30,3,2,10
100,0.014257526397705078,3.1777498615639065e-4,tweedie,30,3,2,10
100,2.362506866455078,0.027529581185842873,lasso,30,3,2,10
100,0.5550666809082031,0.030308563264355198,boruta,30,3,2,10
100,0.975217342376709,0.011117826703794308,svm,30,3,2,10
300,0.18243157863616943,0.004177948287698011,fdr,30,3,2,10
300,0.020865345001220705,2.986862441056185e-4,tweedie,30,3,2,10
300,2.1368670225143434,0.04357456846952144,lasso,30,3,2,10
300,0.8465919971466065,0.016241983421423672,boruta,30,3,2,10
300,1.8253060102462768,0.03517782956909311,svm,30,3,2,10
1000,0.5574112415313721,0.006258879024119315,fdr,30,3,2,10
1000,0.04497084617614746,0.002255741936323578,tweedie,30,3,2,10
1000,2.226591157913208,0.018944249242148513,lasso,30,3,2,10
1000,1.8663620233535767,0.03056043893705295,boruta,30,3,2,10
1000,4.510024070739746,0.04845848270027698,svm,30,3,2,10
3000,1.6207809686660766,0.012494564348190745,fdr,30,3,2,10
3000,0.11059322357177734,0.0022256860845768223,tweedie,30,3,2,10
3000,5.000037813186646,0.03261378941657084,lasso,30,3,2,10
3000,4.676208519935608,0.04762426751948151,boruta,30,3,2,10
3000,3.314311480522156,0.04589066457731267,svm,30,3,2,10
10000,5.179800009727478,0.048785588086914036,fdr,30,3,2,10
10000,0.3391144275665283,0.006380157906213924,tweedie,30,3,2,10
10000,6.395508551597596,0.1012154672234983,lasso,30,3,2,10
10000,17.13583188056946,0.08023137791800511,boruta,30,3,2,10
10000,4.440508890151977,0.14694566313642013,svm,30,3,2,10
