p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,0.795,0.01707825127659933,NA,NA,NA,0.059160797830996155,0.012613124477737823,fdr,NA,NA,50,10,0.3,100,no
100,0.6389926230232352,0.009022825122780992,NA,NA,NA,0.08932141161690296,0.00641290362096087,tweedie,NA,NA,50,10,0.3,100,no
100,0.5112345679012346,0.011267750411881609,NA,-0.009509761298765441,0.01076741012813454,0.11267750411881608,0.008007641531764611,lasso,0.5207443292,0.003208913677867793,50,10,0.3,100,no
100,0.5222222222222223,0.013336569635443557,NA,0.003783333333333342,0.013337639404136353,0.12652180866432933,0.009483210494298597,boruta,0.5184388888888889,0.0021520026352060294,50,10,0.3,100,no
100,0.4988888888888889,0.01133280516363523,NA,-0.0149491111111111,0.011058081490911224,0.1133280516363523,0.008053873930685306,svm,0.513838,0.0023176349753116594,50,10,0.3,100,no
300,0.8142857142857143,0.0367006645104718,NA,NA,NA,0.09710083124552246,0.02803059552906941,fdr,NA,NA,50,10,0.3,100,no
300,0.6914539682539682,0.009303328855980366,NA,NA,NA,0.08825912701939967,0.00661530125441509,tweedie,NA,NA,50,10,0.3,100,no
300,0.4961111111111111,0.011654374554694794,NA,-0.013164064288888895,0.011271645374907673,0.11654374554694794,0.00828240334579176,lasso,0.5092751754,0.002312551442829924,50,10,0.3,100,no
300,0.5260416666666666,0.011977467072979045,NA,0.017207291666666676,0.011724805303090965,0.11735473095914169,0.008513807014890741,boruta,0.508834375,0.0014713974948984464,50,10,0.3,100,no
300,0.5077777777777778,0.011578820575556812,NA,-0.0023172222222222127,0.011306798012315784,0.11578820575556813,0.008228709470872647,svm,0.510095,0.002089701237647683,50,10,0.3,100,no
1000,0.9,0.01999999999999999,NA,NA,NA,0.03999999999999998,0.016329931618554516,fdr,NA,NA,50,10,0.3,100,no
1000,0.7259807256235827,0.010605114662062327,NA,NA,NA,0.09719748138517327,0.0075439876274433736,tweedie,NA,NA,50,10,0.3,100,no
1000,0.49537037037037035,0.009234232711933413,NA,-0.00726231222962959,0.009491970552949534,0.09234232711933413,0.006562483430595383,lasso,0.5026326825999999,0.0012189268871527774,50,10,0.3,100,no
1000,0.5216666666666667,0.011247618251155715,NA,0.01850666666666667,0.011212311057128265,0.11247618251155715,0.007993334228136122,boruta,0.50316,0.0010150603305949225,50,10,0.3,100,no
1000,0.5,0.011470071445721094,NA,-0.006051999999999995,0.011325857411802556,0.11470071445721094,0.008151424829592566,svm,0.5060520000000001,0.0012570090201616203,50,10,0.3,100,no
3000,0.888,0.019595917942265423,NA,NA,NA,0.043817804600413283,0.015491933384829664,fdr,NA,NA,50,10,0.3,100,no
3000,0.7659259259259259,0.009826397433258777,NA,NA,NA,0.08337974711629638,0.0069970729439488046,tweedie,NA,NA,50,10,0.3,100,no
3000,0.5125308641975309,0.008852935682652021,NA,0.009853549997530795,0.008620737856054925,0.08852935682652022,0.006291507431305187,lasso,0.5026773142000001,0.0013958675491309164,50,10,0.3,100,no
3000,0.5144444444444445,0.011486910848352997,NA,0.012587444444444455,0.011477784491851063,0.11486910848352996,0.008163392071939638,boruta,0.501857,7.583731324887563e-4,50,10,0.3,100,no
3000,0.5072222222222222,0.011460690418379837,NA,0.003562222222222233,0.011481979789338528,0.11460690418379836,0.00814475802376154,svm,0.50366,6.703564557590079e-4,50,10,0.3,100,no
10000,0.84,0.016329931618554512,NA,NA,NA,0.032659863237109024,0.013333333333333327,fdr,NA,NA,50,10,0.3,100,no
10000,0.8011446540880504,0.0062439359999123655,NA,NA,NA,0.045456540220996655,0.0044573804924476395,tweedie,NA,NA,50,10,0.3,100,no
10000,0.5092592592592593,0.010458557396911657,NA,0.007768299459259365,0.010165677560283123,0.10458557396911657,0.007432573096892778,lasso,0.5014909597999999,9.469953108516421e-4,50,10,0.3,100,no
10000,0.4809203142536476,0.010824589020117525,NA,-0.019646352413019062,0.010784230319017431,0.10770330086859194,0.007693092919185138,boruta,0.5005666666666667,4.964001517917013e-4,50,10,0.3,100,no
10000,0.4872222222222222,0.011547410364253273,NA,-0.014821777777777764,0.011503393522109218,0.11547410364253273,0.008206387205703328,svm,0.502044,6.049648457939233e-4,50,10,0.3,100,no
