p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.0626791501045227,6.091593877713825e-4,fdr,50,10,0.3,100,no
100,0.01392115354537964,2.0319979491501347e-4,tweedie,50,10,0.3,100,no
100,0.4327801489830017,0.003186983749756701,lasso,50,10,0.3,100,no
100,0.609482672214508,0.011176251109971145,boruta,50,10,0.3,100,no
100,0.8858580589294434,0.003012657255177976,svm,50,10,0.3,100,no
300,0.1823622179031372,0.0011755089494507533,fdr,50,10,0.3,100,no
300,0.021056067943573,3.008525451558434e-4,tweedie,50,10,0.3,100,no
300,0.46225361108779905,0.002194117135310863,lasso,50,10,0.3,100,no
300,0.9501836013793945,0.011925179693884328,boruta,50,10,0.3,100,no
300,1.7632001399993897,0.004899661819606169,svm,50,10,0.3,100,no
1000,0.5681447744369507,0.0045262381318970975,fdr,50,10,0.3,100,no
1000,0.03975527286529541,3.5498011910370923e-4,tweedie,50,10,0.3,100,no
1000,0.549325749874115,0.0034678579637629943,lasso,50,10,0.3,100,no
1000,2.041674728393555,0.00953275530544544,boruta,50,10,0.3,100,no
1000,4.298636965751648,0.008103042485029941,svm,50,10,0.3,100,no
3000,1.6582217121124267,0.00616588688392086,fdr,50,10,0.3,100,no
3000,0.10732889890670777,0.0014870134714713467,tweedie,50,10,0.3,100,no
3000,3.354370565414429,0.007757196395829636,lasso,50,10,0.3,100,no
3000,5.424379818439483,0.01998888097321335,boruta,50,10,0.3,100,no
3000,3.297758183479309,0.013550244647340498,svm,50,10,0.3,100,no
10000,5.504212372303009,0.017846616620113203,fdr,50,10,0.3,100,no
10000,0.32486976861953737,0.002128437360392878,tweedie,50,10,0.3,100,no
10000,4.637429950237274,0.024170829426280478,lasso,50,10,0.3,100,no
10000,19.31961957216263,0.07819017416748605,boruta,50,10,0.3,100,no
10000,4.516757454872131,0.03737200081333803,svm,50,10,0.3,100,no
