p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims,correlated
100,0.7876353790554047,0.008867408790072332,NA,NA,NA,0.08029780177141009,0.006308791127437471,fdr,NA,NA,50,10,1.1,100,block
100,0.6317118091692597,0.007841023441122367,NA,NA,NA,0.07841023441122368,0.005572372715361408,tweedie,NA,NA,50,10,1.1,100,block
100,0.7058641975308642,0.015291761195532338,NA,0.7058641975308642,0.015291761195532338,0.15291761195532338,0.010867381470754734,lasso,0,0,50,10,1.1,100,block
100,0.6598915989159891,0.015224140632457603,NA,0.6598915989159891,0.015224140632457603,0.13786045682407055,0.010831340430863949,boruta,0,0,50,10,1.1,100,block
100,0.6455555555555555,0.015347737992257601,NA,0.6455555555555555,0.015347737992257601,0.153477379922576,0.010907162447958463,svm,0,0,50,10,1.1,100,block
300,0.8084195297373697,0.00684421164219499,NA,NA,NA,0.060057713420035595,0.004871323810431122,fdr,NA,NA,50,10,1.1,100,block
300,0.7232333511899032,0.009113667562470586,NA,NA,NA,0.08975921587561451,0.0064778134310044715,tweedie,NA,NA,50,10,1.1,100,block
300,0.6389506172839506,0.015666506290236686,NA,0.6389506172839506,0.015666506290236686,0.15666506290236687,0.011133701212893796,lasso,0,0,50,10,1.1,100,block
300,0.6357388316151202,0.014101303143797974,NA,0.6357388316151202,0.014101303143797974,0.13888172948328661,0.01002292548783704,boruta,0,0,50,10,1.1,100,block
300,0.6177777777777778,0.014263303462523955,NA,0.6177777777777778,0.014263303462523955,0.14263303462523955,0.01013648838602522,svm,0,0,50,10,1.1,100,block
1000,0.8192151182151182,0.006880761981842438,NA,NA,NA,0.05194861375141585,0.004908682605028447,fdr,NA,NA,50,10,1.1,100,block
1000,0.7532516962829088,0.0067044746080972585,NA,NA,NA,0.06637091243550029,0.0047651538077970925,tweedie,NA,NA,50,10,1.1,100,block
1000,0.5941975308641976,0.01456554963783285,NA,0.5941975308641976,0.01456554963783285,0.1456554963783285,0.010351285389663886,lasso,0,0,50,10,1.1,100,block
1000,0.5904925544100802,0.013136341584557289,NA,0.5904925544100802,0.013136341584557289,0.12937796030212564,0.00933705002595462,boruta,0,0,50,10,1.1,100,block
1000,0.5888888888888889,0.012781315081550374,NA,0.5888888888888889,0.012781315081550374,0.12781315081550373,0.009083285104511023,svm,0,0,50,10,1.1,100,block
3000,0.819443455095629,0.010604341313256816,NA,NA,NA,0.07192214204019569,0.007581259434838928,fdr,NA,NA,50,10,1.1,100,block
3000,0.787406270373986,0.0075905755284001505,NA,NA,NA,0.07475849901300641,0.005395229941171453,tweedie,NA,NA,50,10,1.1,100,block
3000,0.5819753086419753,0.015703212723722847,NA,0.5819753086419753,0.015703212723722847,0.15703212723722848,0.01115978733927416,lasso,0,0,50,10,1.1,100,block
3000,0.5705555555555556,0.014033589655120504,NA,0.5705555555555556,0.014033589655120504,0.14033589655120504,0.009973237891707919,boruta,0,0,50,10,1.1,100,block
3000,0.5794444444444444,0.012264873036941548,NA,0.5794444444444444,0.012264873036941548,0.12264873036941548,0.008716265724955164,svm,0,0,50,10,1.1,100,block
