p,nullresult,number,prop,prop_se,method,n,sig_p,d,nsims,correlated
100,TRUE,0,0,0,fdr,50,10,1.81,10,block
100,TRUE,0,0,0,tweedie,50,10,1.81,10,block
100,TRUE,0,0,0,lasso,50,10,1.81,10,block
100,TRUE,0,0,0,boruta,50,10,1.81,10,block
100,TRUE,0,0,0,svm,50,10,1.81,10,block
300,TRUE,0,0,0,fdr,50,10,1.81,10,block
300,TRUE,0,0,0,tweedie,50,10,1.81,10,block
300,TRUE,0,0,0,lasso,50,10,1.81,10,block
300,TRUE,0,0,0,boruta,50,10,1.81,10,block
300,TRUE,0,0,0,svm,50,10,1.81,10,block
1000,TRUE,0,0,0,fdr,50,10,1.81,10,block
1000,TRUE,0,0,0,tweedie,50,10,1.81,10,block
1000,TRUE,0,0,0,lasso,50,10,1.81,10,block
1000,TRUE,0,0,0,boruta,50,10,1.81,10,block
1000,TRUE,0,0,0,svm,50,10,1.81,10,block
3000,TRUE,0,0,0,fdr,50,10,1.81,10,block
3000,TRUE,0,0,0,tweedie,50,10,1.81,10,block
3000,TRUE,0,0,0,lasso,50,10,1.81,10,block
3000,TRUE,0,0,0,boruta,50,10,1.81,10,block
3000,TRUE,0,0,0,svm,50,10,1.81,10,block
