p,mean_time,mean_time_se,method,n,sig_p,d,nsims,correlated
100,0.0681999921798706,0.0031063964587767826,fdr,50,10,1.81,10,block
100,0.016106653213500976,9.648560871175453e-4,tweedie,50,10,1.81,10,block
100,2.2246968030929564,0.03349847814083728,lasso,50,10,1.81,10,block
100,0.9231655836105347,0.019577103313991397,boruta,50,10,1.81,10,block
100,1.134009313583374,0.014143406927771504,svm,50,10,1.81,10,block
300,0.1793414831161499,0.002874556326826936,fdr,50,10,1.81,10,block
300,0.0374586820602417,0.01594525863687112,tweedie,50,10,1.81,10,block
300,2.2295135974884035,0.04030953705877768,lasso,50,10,1.81,10,block
300,1.2784098148345948,0.01874522246529773,boruta,50,10,1.81,10,block
300,2.429975128173828,0.029620444500664502,svm,50,10,1.81,10,block
1000,0.5954143285751343,0.016570454371620195,fdr,50,10,1.81,10,block
1000,0.0451646089553833,0.001202395698104105,tweedie,50,10,1.81,10,block
1000,2.2184225797653196,0.04314732032186772,lasso,50,10,1.81,10,block
1000,2.864845633506775,0.01784436419034469,boruta,50,10,1.81,10,block
1000,5.618581461906433,0.05828901094718832,svm,50,10,1.81,10,block
3000,1.8220730543136596,0.022192354442941653,fdr,50,10,1.81,10,block
3000,0.11753528118133545,0.005129325255761609,tweedie,50,10,1.81,10,block
3000,5.488272786140442,0.07260865323065882,lasso,50,10,1.81,10,block
3000,7.71409797668457,0.1175813684663434,boruta,50,10,1.81,10,block
3000,4.646667003631592,0.1232349985605898,svm,50,10,1.81,10,block
