p,test_auc,test_auc_se,data_auc,auc_bias,auc_bias_se,auc_sd,auc_sd_se,method,pop_auc,pop_auc_se,n,sig_p,d,nsims
100,0.7507602339181286,0.009202163143096584,NA,NA,NA,0.029099794932639166,0.006858887442669029,fdr,NA,NA,76,10,0.9,10
100,0.6590981050539874,0.026500708133196046,NA,NA,NA,0.08380259730824834,0.019752461612569307,tweedie,NA,NA,76,10,0.9,10
100,0.9106508875739645,0.013677900155886229,NA,-0.004528756426037428,0.012491703531720572,0.04325331810097262,0.010194904846005527,lasso,0.915179644000002,0.004462692251959022,76,10,0.9,10
100,0.8038461538461539,0.02253640491185507,NA,-0.02134384615384618,0.027893877743724604,0.07126636979326822,0.016797644450456034,boruta,0.82519,0.007898895140742436,76,10,0.9,10
100,0.7269230769230769,0.029487179487179487,NA,0.0065930769230769124,0.025786444549127097,0.09324664895368298,0.021978445932690244,svm,0.72033,0.008848340082875564,76,10,0.9,10
300,0.7562552213868003,0.008798913143539233,NA,NA,NA,0.027824606467576046,0.006558322639023364,fdr,NA,NA,76,10,0.9,10
300,0.7006419457735247,0.018968105084284724,NA,NA,NA,0.05998241496375984,0.01413799079094001,tweedie,NA,NA,76,10,0.9,10
300,0.8893491124260355,0.01650334883294591,NA,-0.0031479915739664245,0.01609457691870402,0.05218817133239075,0.01230086994895296,lasso,0.8924971040000019,0.008680465550606071,76,10,0.9,10
300,0.823076923076923,0.030982169163063022,NA,0.01940692307692312,0.022825692453092898,0.09797422140791186,0.023092745446335564,boruta,0.80367,0.01331175796054,76,10,0.9,10
300,0.6923076923076923,0.04998356074261007,NA,-0.021642307692307683,0.040518771296970166,0.15806189751202504,0.03725554652598867,svm,0.71395,0.01947812590802536,76,10,0.9,10
1000,0.7658440081685696,0.006628781213161143,NA,NA,NA,0.01988634363948343,0.004971585909870857,fdr,NA,NA,76,10,0.9,10
1000,0.703619940001519,0.018491192242185706,NA,NA,NA,0.05847428413734271,0.013782520946181334,tweedie,NA,NA,76,10,0.9,10
1000,0.834319526627219,0.02577721381097363,NA,-0.0027166853727837227,0.018019522633373287,0.08151470737582572,0.019213200783961153,lasso,0.8370362120000027,0.01675034962773305,76,10,0.9,10
1000,0.6923076923076923,0.02627423273322974,NA,-0.04706230769230768,0.01909395887575389,0.08308641921035718,0.0195836568160506,boruta,0.73937,0.017255382735057865,76,10,0.9,10
1000,0.6730769230769231,0.03205128205128206,NA,-0.03641307692307696,0.025330451825378946,0.10135505321052501,0.02388961514422853,svm,0.7094900000000001,0.02133646044789165,76,10,0.9,10
3000,0.7783771929824561,0.010067156345250806,NA,NA,NA,0.031835143612008975,0.007503615309366383,fdr,NA,NA,76,10,0.9,10
3000,0.7587844611528822,0.01262456455991886,NA,NA,NA,0.03992237847718486,0.009409794847437765,tweedie,NA,NA,76,10,0.9,10
3000,0.7828402366863905,0.029388560157790934,NA,-0.04733108331360898,0.029625122732647724,0.09293478725149677,0.02190493942455416,lasso,0.8301713199999995,0.014188548969961055,76,10,0.9,10
3000,0.7076923076923077,0.025768911849027937,NA,-2.1769230769229652e-4,0.025419604015608166,0.08148845426702929,0.019207012866875425,boruta,0.70791,0.006300166664462151,76,10,0.9,10
3000,0.6692307692307692,0.034496471915573604,NA,-0.029489230769230778,0.031606438004620326,0.10908742249324432,0.025712152062378327,svm,0.69872,0.014087747237305985,76,10,0.9,10
10000,0.7965399610136452,0.01711844790449428,NA,NA,NA,0.05135534371348284,0.01283883592837071,fdr,NA,NA,76,10,0.9,10
10000,0.7881203007518797,0.008319409518682803,NA,NA,NA,0.0263082828667228,0.006200921738811186,tweedie,NA,NA,76,10,0.9,10
10000,0.6940828402366864,0.036240959857533256,NA,-0.03716099576331487,0.031044314602416564,0.11460397774053643,0.027012416603761823,lasso,0.7312438360000013,0.017313676710133615,76,10,0.9,10
10000,0.6269230769230769,0.02149109565928232,NA,-0.0026369230769230255,0.027126759226651028,0.06796081169589012,0.016018516935035313,boruta,0.62956,0.021701014825220598,76,10,0.9,10
10000,0.6076923076923076,0.025512498387349227,NA,0.018482307692307666,0.024090117818902405,0.08067760370539627,0.019015893556655547,svm,0.58921,0.00792982345326804,76,10,0.9,10
